dodawanie 100 do 5000 na pocz¹tek tablicy
nr testu;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;
;2559200;4395200;5485500;6372800;7264100;8150900;9045400;9935700;10830700;11717400;12765800;13656500;14857700;15746000;16669800;17556600;18445500;19500400;20393400;21281900;22171500;23064400;24435500;25468600;26450100;27389100;28283700;29168900;30167300;31055800;32068400;33312200;34241600;35173600;36103000;36990300;37876300;38761300;39908800;40866700;41752400;42643900;43532200;44417000;45303200;46201100;47070800;48583200;49549600;50437100;51457700;52347100;53652700;54746000;55607600;56476000;57361900;58434500;59319200;60203200;61130500;62085200;63045700;64015900;64900900;65787800;66673000;67777900;68662700;69550200;70432400;71329800;72224900;73112800;73996700;74885900;75770100;76656200;77540400;78428800;79312300;80458400;81325000;82190900;83076800;84213000;85131400;86017300;86883100;87771100;88635600;89522700;90454300;91341600;92226300;93175900;94061100;95025000;95970200;96954200dodawanie 100 do 10 000 na pocz¹tek tablicy
nr testu;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;
;2685600;4814800;6764400;8666100;10559900;12635400;14954400;16652200;18348800;20096500;21793600;23637900;25373700;27068500;29090800;31059600;33046600;34825600;36678400;38599900;40309200;42004600;43708500;45442200;47138200;48831000;50671700;52405200;54102900;56018600;57724600;59420400;61123300;63042500;64960300;66697000;68391400;70086400;72046000;73790200;75487000;77372100;79103700;80799100;82494900;84281000;86053700;87994000;89813500;91509900;93439300;95170500;96938700;98673200;100403900;102121600;104224100;105963900;107661600;109365100;111276900;112972700;114838100;116609700;118306900;120002500;121698600;124121900;125854200;127555800;129263300;131159100;132909400;134603700;136315600;138058400;139759500;141454200;143166100;144979400;146714600;148441100;150138000;152113900;153811800;155631300;157421200;159116100;160897300;162594500;164572400;166303300;168071100;169802400;171585000;173282300;174978400;176706200;178884600;180615200
